query	alternative query	main passage	citation
踢猫效应在直面上如何体现？	踢猫效应最初指的是什么？	一位父亲的同事耽误了他很多 时间，影响了他当天工作的完成。想 着明天要挨上司的责骂，他一肚子 火。回到家，他发现自己的妻子还没 有回家，也没有给他准备好晚餐。他 更加生气了，认为自己今天的工作 更加无法完成了，便一声不响地坐 在那里等妻子。妻子终于回来了，他 劈头盖脸给她一顿责骂。妻子当时 因为汽车抛锚了，耽误了一些时间， 本身已经满腹不满了，结果被丈夫 责骂，内心也非常愤怒。这时候，他 们的儿子拿回来了一张成绩单，他 们看了之后，发现儿子再次不及格， 两个人顿时火冒三丈，把儿子狠狠 地打骂了一顿。儿子一委屈，就对家 里的猫踢了一脚。	"李秋生,王小文. 踢猫效应与情绪传递[J]. 大众心理学,2016(10):41-42. 
"
解释一下踢猫效应		个体会对 弱于自己或者等级低于自己的对象 发泄不满情绪，而产生坏情绪传染 的连锁反应。但是这种连锁反应远 远不只是把坏情绪传递下去那么简 单。现在我们来分析一下那只被踢 的猫。这只猫本身并没有得罪谁，却 莫名其妙地被踢了一脚。它必定心 里会有不满，会表现出一些行为反 应。而这只猫对我们可能有不同的 意义，我们的表现也会有一些差异。 	"李秋生,王小文. 踢猫效应与情绪传递[J]. 大众心理学,2016(10):41-42. 
"
踢猫效应会带来什么连锁反应？		假如这只猫对我们不重要，而 且它选择了反抗，我们很有可能和 它陷入战争。人踢了猫一下，猫也会 扑上来攻击我们，我们也需要再次 自我保护。如此一来，为了发泄一些 坏情绪，我们需要应对一只被我们引发坏情绪的猫，这似乎给我们带 来了更多的坏情绪。 	"李秋生,王小文. 踢猫效应与情绪传递[J]. 大众心理学,2016(10):41-42. 
"
根据踢猫效应，踢猫会带来什么后果	踢猫又可能带来的结果有哪些？	"假如这只猫对我们不重要，而 且它选择了隐忍，这是最好的情况， 它默默地承受了你的坏心情，没有 把它传递下去。而在现在的社会这 是很难做到的。但是很危险的一种 情况是:这只猫可能在心里积累着 怒气，等着你不注意，或者它够愤怒 的时候，攻击你。所以，为了发泄一 些坏情绪，给自己种下了隐患，这似 乎给我们留下了很大的麻烦。 
假如这只猫对我们不重要，而 且它选择了欺负其它猫，这就再次 开始了坏情绪的传递。这只猫的坏 情绪，是因为我们产生的，甚而言 之，比我们的坏情绪还要强烈。所 以，我们无形间成了坏情绪的源头 和帮凶。等这只猫开始欺负其它猫 的时候，我们会发现每只猫都充满 着愤怒，这样太可怕了。 
假如这只猫对我们很重要，而 且它选择了反抗。我们一方面需要 发泄自己的坏情绪，一方面要应对 猫的坏情绪，同时还要注意保护它 别受到伤害。这样我们就从仅仅应 对自己的坏情绪变成应对很多人的 坏情绪，坏情绪一旦传递下去，就会 伤害我们在意的人，即使我们希望 弥补，也往往难以做到。我们可能会 发现，因为我们把坏情绪传递下去 了，身边我们关心的人，也一肚子怒 火了。这样，我们的情绪非但没有宣 泄，反而更加难以应对了。 
假如这只猫对我们很重要，而 且它选择了隐忍。这时，我们会担心 猫心里在想什么，是不是受了委屈? 
是不是不开心了?是不是想找个时 机把这份坏情绪还给我们? 这只猫 是我们所关心的，所以不能不管不 问，结果，我们非但没有宣泄自己的 坏情绪，反而增加了内心隐隐的担 忧。这份担忧可能还会盖过这份坏 情绪本身。 
假如这只猫对我们很重要，而 且它选择了欺负。这时，坏情绪就被 传递下去了，更糟糕的是，我们必须 要去关心这只猫，去为它引发的消 极后果负责。我们为了宣泄自己的 坏情绪，结果给自己引起了数不清 的麻烦。猫心里也有了坏情绪，这种 坏情绪可能再怎样去弥补，也难以 消除了。 "	"李秋生,王小文. 踢猫效应与情绪传递[J]. 大众心理学,2016(10):41-42. 
"
不踢猫的话，可以更好地发泄负面情绪吗？	有在被人身上发泄情绪的冲动时候可以如何更好的解决问题？	当然是可以的，但是并非简单 粗暴地把猫一脚踢开。我们的家人、 朋友、同事、同学都可以成为这只 猫，但是我们要做一个爱猫的人。我 们可以和别人聊聊天，让他们明白 我们心里的烦恼。一般而言，坏情绪 说出来了就会烟消云散了。我们此 时或许能够得到大家的安慰，或许 能够得到大家的鼓励。甚而言之，大 家能够帮助我们想出一些好点子， 这样可能有助于我们解决问题而不 是发泄情绪。我们虽然有坏情绪，但 是最重要的还是解决问题，问题解 决了，心情也多云转晴了。 	"李秋生,王小文. 踢猫效应与情绪传递[J]. 大众心理学,2016(10):41-42. 
"
亲子冲突将怎样影响青少年的人格？		"青少年阶段的孩子们心理发育还未定型，再加上他们本身的生理急速发育，
这时候如果没有在关怀和爱的氛围下成长，就会很容易产生一系列的心理冲突，
形成不好的人格，从而影响他们的社会适应能力。而关怀和爱的氛围首先要由家
庭提供，家庭氛围和谐有爱，对孩子的性格塑造、心理素质的培养、社会适应的
能力是很重要的。初中生正处于人格稳定的关键时刻，他们渴望自主独立，又渴
望得到父母老师的关注，所以随着学业任务的加重和内心需求的增加，许多亲子
沟通问题和人格问题会在这一时期显现出来，从而影响他们的社会适应能力"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
青春期的特殊性如何影响亲子矛盾？		"青春期，是个体成长的重要阶段。这个时期的孩子们觉得自己长大了，有了
自己的想法，比较抗拒听父母的话，认为父母的观念老化，跟不上时代。而自己
解决问题的能力又比较欠缺，容易冲动，不能有效地控制自己。如果父母和子女
这时候没有好好沟通，这种心理与行为的冲突往往也会使亲子关系变得不好。"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
亲子沟通的基本概念是什么？		"亲子沟通是父母与孩子之间交流互动的一个过程。本文选自张峰（2004）对
它的定义：亲子沟通是亲子双方在血缘关系的基础上，基于角色、态度、需求的
不同，通过不同的形式传递信息达到培养情感的过程。
"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
亲子关系和孩子适应社会的能力有什么关联	亲子关系会影响孩子适应社会的能力吗	"王雁（2010）认为青少年社会适应不良主要是因为，在家庭上父母过于关注
孩子的成绩，很少关注孩子的心理需求和心理健康，对孩子的社会交往能力不太
注重。在学校上老师过分关注学生的学习和名次，对学生的心理教育和同伴团体
交流方面不太关注。在社会方面，社会上的大众传媒和不良风气也会对青少年的
社会适应问题产生影响。在个体自身方面，比如敏感多疑、偏执的性格也是一部
分原因。
张檬（2015）对 913 名初中生和高中生进行调查，研究发现，初中生的亲子
沟通水平比较高，到了高中，亲子沟通水平出现明显下降趋势，而且即使在这一
时期师生关系有所提升也无法很好的提高他们的社会适应能力，这说明亲子关系
对于提高社会适应能力是很重要的一个因素。
"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
亲子沟通和孩子完美主义人格的关联	孩子的完美主义是怎么产生的？	"研究发现许多成长因素都会或多或少的影响青少年的完美主义倾向，比如亲
子沟通的方法、家庭环境、亲子关系的好坏以及父母是否具有完美主义人格特质（朱丹，张霞，李静，2009）。孩子在严苛和专制的教养方式下，对自身的要求就会高，权威和专制本就是高要求高标准，也就是说孩子的高标准完美主义很大原因是父母的要求过高。当孩子在放任型的家庭中成长时，没有过多的要求，所以放任型教养方式与高标准完美主义相关不显著。感觉自己的实际表现和想要达到的标准间有差距，孩子的这种心理差距有可能是因为父母和孩子有着不安全的亲子依恋关系，父母不关注
孩子的情感需求，比如疏远、情感隔离的关系，也就是说当亲子关系不良好的时
候，孩子更容易形成高标准的完美主义人格（周亚娟，梁宝勇等，2010）。
有的研究发现，当父母有高度完美主义倾向的时候，他们会采取苛刻、严厉
的方式对待孩子，从而形成一种不安全的亲子依恋关系，孩子在父母那里得不到
关怀，会更加害怕犯错误，潜移默化下也会对自己有过高的标准。所以消极完美
主义者的父母一般是高标准高要求的教养方式，二者密不可分（訾非，周旭，
2005）。
"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
孩子的性别如何影响亲子沟通？	男生和女生跟家长沟通的方式有什么不同？	"亲子进行沟通时，男生要比女生开放，在问题性维度上没有显著差异，但亲子进行沟通时，女生的问题性比男生更多，这与 Youniss 和 Smollar（1985）研究一致，女生心思相对来说更加细腻、敏感，对亲子沟通有着更高的要求，对情绪捕捉的能力更强，容易情绪波动，也就造成了女生对亲子沟通的满意度要低一些。本研究中，男生
的亲子沟通总分和开放性总分高于女生，这与 Guerrero（1995）的结果不一致，
原因可能是，以前女孩更愿意向父母袒露心思，更积极主动，而现在随着时代进
步，初中生的各方面压力越来越大，加上女性敏感多疑的性格，她们体会到的负
面情绪相对男生来说多一些，所以男生大大咧咧和活跃的性格在亲子沟通及开放
性上就优于女生一些。
"	"[1]李晓飞. 初中生亲子沟通与社会适应的关系研究：完美主义和基本心理需要的中介作用[D].河北师范大学,2021."
高中生的人格有什么特点？	高中生的人格和家庭有什么关系？	"根据著名心理学家埃里克森提出的人格发展八阶段理论，高中生正处于青春期(12-18岁)，面临着自我同一性和角色混乱的冲突(曹可莉, 2018)。也就是说，在这个阶段的高中生很大程度上会本能的因为情绪波动以及在面临新的社会要求和社会冲突而感到困惑和混乱的情况下引发一系列心理问题，包括可能和父母的亲子关系异化、沟通不畅、价值观不一致等等。这个阶段的特点和可能面临的危机是由遗传决定的，但是能否顺利度过危机却是由环境决定的。家庭作为孩子成长的第一课堂，家庭因素作为重要的环境因素之一，与高中生的心理健康状况高度相关。家庭环境的优劣直接影响着父母与子女之间的关系，从而影响到孩子的心理健康，紧张的亲子关系不仅会对家长产生较大困扰，更会给处于该阶段的高中生带来一定的心理压力，处理不当甚至会引发较为严重的心理问题，对高中生的身心健康和学业均有很大影响(Leary et al., 2008)。

"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
